Date,Dividends
2007-12-21,0.447
2008-06-20,0.435
2011-12-16,0.529
2012-06-15,0.51
2016-09-16,1.1125
2012-09-21,0.411
1995-12-28,0.184
2004-06-18,0.269
2003-12-19,0.236
2008-09-19,0.437
1996-06-21,0.162
1998-12-18,0.158
2000-06-16,0.207
2004-09-17,0.235
2003-03-21,0.223
2017-03-17,0.823
1998-12-21,1.5
2000-09-14,0.202
1996-09-20,0.153
1999-03-19,0.175
2000-09-15,0.0
2009-03-20,0.337
2013-03-15,0.497
2017-06-16,0.524
2013-06-21,0.736
2015-12-18,1.00301
1996-03-15,0.136
2007-03-16,0.613
2008-12-19,0.555
2011-06-17,0.469
2015-09-18,0.901
2004-12-17,0.306
2007-06-15,0.424
2003-06-20,0.198
2007-09-21,0.351
2011-09-16,0.272
1999-06-18,0.179
1999-12-17,0.185
2003-09-19,0.202
2004-03-19,0.246
2016-03-18,0.81624
1999-12-20,2.0
1999-09-17,0.17
2000-03-17,0.179
2008-03-20,0.393
2012-03-16,0.383
2016-06-17,0.84802
2016-12-16,1.16472
2012-12-21,0.816
2009-12-18,0.488
2010-06-18,0.369
2014-09-19,0.56
1997-12-24,0.16
2005-12-16,0.364
2006-06-16,0.405
2001-12-21,0.196
2002-06-21,0.179
2010-09-17,0.283
1996-12-20,0.193
1998-06-19,0.142
2000-12-15,0.193
2005-03-18,0.231
2006-09-15,0.34
2002-09-20,0.175
2015-03-20,0.614
1997-03-21,0.151
1998-09-18,0.146
2001-03-16,0.167
2011-03-18,0.444
2013-12-20,0.71
2015-06-19,0.924
2009-06-19,0.394
2010-12-17,0.456
2013-09-20,0.662
2005-06-17,0.487
2006-12-15,0.599
2002-12-20,0.191
2009-09-18,0.389
1997-06-20,0.15
1997-12-19,0.155
2001-06-15,0.181
2005-09-16,0.317
2006-03-17,0.38
2001-09-21,0.171
2014-03-21,0.685
1997-09-19,0.153
1998-03-20,0.15
2002-03-15,0.173
2010-03-19,0.396
2014-06-20,0.779
2014-12-19,1.074
