Date,Dividends
2003-12-24,0.014
2007-12-21,0.053
2008-06-20,0.034
2011-12-16,0.161
2012-06-15,0.143
2016-09-16,0.294
2012-09-21,0.2
2008-09-19,0.028
2011-12-27,0.049
2017-03-17,0.274
2009-03-20,0.049
2013-03-15,0.159
2017-06-16,0.378
2013-06-21,0.224
2015-12-18,0.342
2007-03-16,0.027
2008-12-19,0.043
2011-06-17,0.121
2015-09-18,0.26
2004-12-17,0.379
2007-06-15,0.037
2007-09-21,0.026
2011-09-16,0.104
2016-03-18,0.318
2008-03-20,0.033
2012-03-16,0.113
2016-06-17,0.287
2016-12-16,0.355
2012-12-21,0.367
2009-12-18,0.073
2010-06-18,0.089
2014-09-19,0.238
2005-12-16,0.101
2006-06-16,0.026
2010-09-17,0.112
2006-09-15,0.023
2015-03-20,0.248
2011-03-18,0.077
2013-12-20,0.272
2015-06-19,0.254
2009-06-19,0.044
2010-12-17,0.108
2013-09-20,0.238
2014-02-27,0.373
2005-06-17,0.035
2006-12-15,0.054
2009-09-18,0.041
2006-03-17,0.029
2014-03-21,0.206
2010-03-19,0.051
2010-06-25,0.089
2014-06-20,0.249
2014-12-19,0.387
