Date,Dividends
2004-04-01,0.348
2007-09-04,0.362
2009-11-02,0.308
2010-05-03,0.32
2014-02-03,0.276
2006-02-01,0.321
2003-09-02,0.372
2006-05-01,0.33
2010-02-01,0.325
2010-08-02,0.324
2012-06-01,0.263
2013-10-01,0.278
2014-12-01,0.277
2015-12-24,0.254
2010-11-01,0.319
2016-06-01,0.267
2006-12-01,0.342
2005-10-03,0.362
2009-10-01,0.307
2015-03-02,0.252
2010-12-01,0.34
2012-09-04,0.272
2006-09-01,0.35
2006-11-01,0.345
2013-08-01,0.27
2010-09-01,0.322
2016-04-01,0.27
2015-02-02,0.279
2002-11-01,0.389
2008-04-01,0.406
2002-09-03,0.373
2005-05-02,0.33
2009-08-03,0.318
2016-07-01,0.255
2008-07-01,0.332
2012-12-26,0.268
2016-12-22,0.309
2015-06-01,0.264
2005-08-01,0.345
2007-06-01,0.338
2014-05-01,0.269
2004-07-01,0.336
2011-06-01,0.352
2014-11-03,0.29
2012-02-01,0.289
2012-08-01,0.273
2009-09-01,0.307
2016-02-01,0.241
2016-08-01,0.258
2007-04-02,0.326
2008-02-01,0.329
2008-08-01,0.332
2005-03-01,0.282
2005-09-01,0.334
2007-07-02,0.326
2011-10-03,0.306
2009-12-29,0.318
2015-10-01,0.256
2007-10-01,0.345
2013-03-01,0.254
2013-05-01,0.261
2010-06-01,0.326
2014-09-02,0.271
2017-03-01,0.234
2015-11-02,0.267
2017-05-01,0.255
2014-04-01,0.28
2013-02-01,0.26
2004-06-01,0.322
2008-09-02,0.34
2011-05-02,0.4
2005-12-01,0.39
2015-08-03,0.267
2007-08-01,0.341
2006-04-03,0.328
2014-07-01,0.292
2010-04-01,0.332
2011-08-01,0.325
2006-07-03,0.327
2010-12-28,0.32
2003-08-01,0.378
2014-12-24,0.261
2010-07-01,0.31
2006-10-02,0.354
2017-02-01,0.259
2009-12-01,0.307
2013-09-03,0.279
2016-05-02,0.26
2013-04-01,0.255
2017-07-03,0.258
2002-12-02,0.389
2003-06-02,0.398
2014-08-01,0.3
2004-10-01,0.361
2011-03-01,0.297
2011-09-01,0.322
2013-07-01,0.252
2003-03-03,0.34
2009-04-01,0.302
2007-03-01,0.343
2005-11-01,0.397
2016-09-01,0.254
2011-12-27,0.38
2009-07-01,0.303
2005-02-01,0.345
2006-08-01,0.342
2003-12-31,0.4
2007-12-27,0.362
2008-06-02,0.327
2015-05-01,0.258
2005-07-01,0.332
2011-02-01,0.32
2012-04-02,0.29
2003-10-01,0.367
2009-05-01,0.297
2003-12-01,0.418
2008-03-03,0.348
2005-04-01,0.33
2006-06-01,0.332
2012-03-01,0.267
2016-12-01,0.243
2007-02-01,0.355
2012-07-02,0.269
2016-10-03,0.247
2004-03-01,0.356
2013-11-01,0.288
2008-12-29,0.405
2012-10-01,0.26
2015-12-01,0.257
2017-04-03,0.255
2008-10-01,0.29
2007-12-03,0.376
2004-12-31,0.335
2015-09-01,0.263
2016-03-01,0.248
2011-12-01,0.29
2016-11-01,0.25
2002-10-01,0.343
2008-05-01,0.336
2009-03-02,0.282
2015-04-01,0.273
2004-12-01,0.355
2005-06-01,0.349
2012-05-01,0.283
2015-07-01,0.258
2011-04-01,0.386
2003-11-03,0.348
2004-05-03,0.325
2012-12-03,0.245
2013-12-26,0.335
2014-06-02,0.294
2011-07-01,0.32
2003-02-03,0.308
2004-08-02,0.33
2017-08-01,0.269
2003-07-01,0.353
2005-12-28,0.383
2008-12-01,0.355
2003-04-01,0.378
2010-03-01,0.29
2008-11-03,0.37
2017-06-01,0.263
2003-05-01,0.473
2004-09-01,0.35
2006-03-01,0.32
2004-11-01,0.366
2007-05-01,0.324
2009-02-02,0.285
2007-11-01,0.394
2013-06-03,0.275
2013-12-02,0.31
2014-10-01,0.289
2004-02-02,0.358
2011-11-01,0.299
2002-12-31,0.446
2006-12-27,0.303
2009-06-01,0.305
2014-03-03,0.263
2010-10-01,0.392
