Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,7.713333,7.713333,7.626667,7.626667,2.197835,387200
1962-01-03,7.626667,7.693333,7.626667,7.693333,2.217047,288000
1962-01-04,7.693333,7.693333,7.613333,7.616667,2.194952,256000
1962-01-05,7.606667,7.606667,7.453333,7.466667,2.151727,363200
1962-01-08,7.460000,7.460000,7.266667,7.326667,2.111383,544000
1962-01-09,7.360000,7.506667,7.360000,7.413333,2.136358,491200
1962-01-10,7.426667,7.460000,7.426667,7.426667,2.140200,299200
1962-01-11,7.446667,7.506667,7.446667,7.506667,2.163253,315200
1962-01-12,7.520000,7.573333,7.520000,7.520000,2.167097,435200
1962-01-15,7.546667,7.570000,7.546667,7.553333,2.176702,251200
1962-01-16,7.546667,7.546667,7.473333,7.473333,2.153647,251200
1962-01-17,7.440000,7.440000,7.333333,7.353333,2.119068,419200
1962-01-18,7.373333,7.446667,7.373333,7.373333,2.124831,371200
1962-01-19,7.373333,7.393333,7.293334,7.380000,2.126752,400000
1962-01-22,7.380000,7.453333,7.360000,7.366667,2.122910,275200
1962-01-23,7.363333,7.373333,7.280000,7.293334,2.101777,371200
1962-01-24,7.293334,7.333333,7.256667,7.333333,2.113303,408000
1962-01-25,7.333333,7.393333,7.240000,7.253334,2.090248,315200
1962-01-26,7.253334,7.280000,7.213333,7.216667,2.079683,243200
1962-01-29,7.216667,7.266667,7.093333,7.093333,2.044141,579200
1962-01-30,7.093333,7.133333,7.003334,7.003334,2.018205,736000
1962-01-31,7.073333,7.226666,7.073333,7.226666,2.082564,760000
1962-02-01,7.300000,7.413333,7.300000,7.393333,2.130594,640000
1962-02-02,7.393333,7.440000,7.360000,7.440000,2.144042,507200
1962-02-05,7.440000,7.440000,7.306667,7.346667,2.117145,312000
1962-02-06,7.346667,7.360000,7.320000,7.353333,2.119356,256000
1962-02-07,7.360000,7.400000,7.360000,7.360000,2.121276,251200
1962-02-08,7.360000,7.400000,7.360000,7.366667,2.123197,16000
1962-02-09,7.366667,7.420000,7.333333,7.420000,2.138571,432000
1962-02-12,7.420000,7.480000,7.413333,7.426667,2.140492,280000
1962-02-13,7.426667,7.433333,7.306667,7.306667,2.105904,256000
1962-02-14,7.306667,7.333333,7.280000,7.293334,2.102061,208000
1962-02-15,7.293334,7.293334,7.260000,7.266667,2.094376,227200
1962-02-16,7.266667,7.293334,7.260000,7.260000,2.092455,219200
1962-02-19,7.260000,7.293334,7.173333,7.186666,2.071320,280000
1962-02-20,7.190000,7.226666,7.190000,7.190000,2.072278,288000
1962-02-21,7.190000,7.240000,7.136667,7.136667,2.056908,363200
1962-02-23,7.146667,7.173333,7.146667,7.160000,2.063634,288000
1962-02-26,7.160000,7.166667,7.120000,7.133333,2.055947,299200
1962-02-27,7.133333,7.193333,7.093333,7.146667,2.059790,347200
1962-02-28,7.146667,7.160000,7.106667,7.160000,2.063634,267200
1962-03-01,7.186666,7.246666,7.186666,7.246666,2.088611,280000
1962-03-02,7.306667,7.346667,7.306667,7.306667,2.105904,243200
1962-03-05,7.306667,7.306667,7.253334,7.280000,2.098219,360000
1962-03-06,7.280000,7.313334,7.266667,7.286667,2.100141,184000
1962-03-07,7.286667,7.310000,7.266667,7.310000,2.106867,123200
1962-03-08,7.310000,7.326667,7.266667,7.326667,2.111670,184000
1962-03-09,7.333333,7.373333,7.333333,7.373333,2.125120,288000
1962-03-12,7.373333,7.393333,7.346667,7.366667,2.123197,280000
1962-03-13,7.366667,7.366667,7.333333,7.360000,2.121276,123200
1962-03-14,7.360000,7.380000,7.333333,7.346667,2.117434,195200
1962-03-15,7.346667,7.386667,7.333333,7.333333,2.113591,243200
1962-03-16,7.333333,7.366667,7.333333,7.366667,2.123197,160000
1962-03-19,7.380000,7.413333,7.380000,7.386667,2.128963,371200
1962-03-20,7.373333,7.373333,7.340000,7.340000,2.115512,160000
1962-03-21,7.340000,7.360000,7.320000,7.346667,2.117434,256000
1962-03-22,7.320000,7.320000,7.266667,7.266667,2.094376,240000
1962-03-23,7.273334,7.306667,7.273334,7.293334,2.102061,184000
1962-03-26,7.293334,7.320000,7.280000,7.290000,2.101102,131200
1962-03-27,7.273334,7.273334,7.146667,7.153333,2.061713,347200
1962-03-28,7.160000,7.213333,7.160000,7.193333,2.073241,328000
1962-03-29,7.193333,7.226666,7.173333,7.173333,2.067477,227200
1962-03-30,7.160000,7.160000,7.070000,7.103333,2.047301,435200
1962-04-02,7.100000,7.100000,7.006667,7.006667,2.019440,371200
1962-04-03,7.000000,7.000000,6.760000,6.833333,1.969482,912000
1962-04-04,6.833333,6.893333,6.803333,6.803333,1.960836,648000
1962-04-05,6.840000,6.946667,6.840000,6.946667,2.002147,912000
1962-04-06,6.946667,7.000000,6.893333,6.940000,2.000225,432000
1962-04-09,6.940000,6.980000,6.893333,6.946667,2.002147,16000
1962-04-10,6.946667,6.973333,6.906667,6.973333,2.009833,256000
1962-04-11,6.973333,7.026667,6.880000,6.880000,1.982932,528000
1962-04-12,6.880000,6.893333,6.806667,6.806667,1.961796,400000
1962-04-13,6.806667,6.906667,6.800000,6.906667,1.990618,627200
1962-04-16,6.906667,6.953333,6.826667,6.900000,1.988696,507200
1962-04-17,6.900000,6.933333,6.866667,6.933333,1.998304,299200
1962-04-18,6.933333,6.993333,6.913333,6.920000,1.994462,424000
1962-04-19,6.920000,6.946667,6.893333,6.920000,1.994462,387200
1962-04-23,6.920000,6.926667,6.886667,6.913333,1.992540,312000
1962-04-24,6.913333,6.956666,6.900000,6.906667,1.990618,456000
1962-04-25,6.906667,6.933333,6.833333,6.833333,1.969482,459200
1962-04-26,6.826667,6.826667,6.660000,6.660000,1.919524,928000
1962-04-27,6.660000,6.733333,6.400000,6.473333,1.865724,1632000
1962-04-30,6.473333,6.533333,6.000000,6.053333,1.744674,2344000
1962-05-01,6.053333,6.193333,5.733333,6.160000,1.775415,5315200
1962-05-02,6.266667,6.453333,6.266667,6.300000,1.815766,2555200
1962-05-03,6.300000,6.453333,6.253334,6.430000,1.853235,1360000
1962-05-04,6.430000,6.480000,6.366667,6.480000,1.867645,779200
1962-05-07,6.480000,6.530000,6.336667,6.336667,1.826335,827200
1962-05-08,6.328333,6.328333,6.126667,6.126667,1.766088,1032000
1962-05-09,6.126667,6.183333,6.000000,6.013333,1.733418,1600000
1962-05-10,6.013333,6.130000,5.986667,6.040000,1.741106,1907200
1962-05-11,6.040000,6.133333,5.920000,5.946667,1.714200,1896000
1962-05-14,5.946667,6.060000,5.843333,6.060000,1.746870,2728000
1962-05-15,6.060000,6.173333,6.026667,6.026667,1.737261,1683200
1962-05-16,6.026667,6.126667,6.026667,6.093333,1.756479,880000
1962-05-17,6.093333,6.093333,5.960000,5.986667,1.725731,971200
1962-05-18,5.986667,6.020000,5.940000,6.020000,1.735339,731200
1962-05-21,6.020000,6.020000,5.946667,6.000000,1.729574,395200
1962-05-22,5.993333,5.993333,5.800000,5.800000,1.671923,1000000
1962-05-23,5.800000,5.840000,5.536667,5.536667,1.596014,2891200
1962-05-24,5.536667,5.680000,5.306667,5.306667,1.529713,4152000
1962-05-25,5.306667,5.426667,5.173333,5.313334,1.531633,4299200
1962-05-28,5.293334,5.293334,4.733333,4.813334,1.387503,4320000
1962-05-29,4.873333,5.160000,4.873333,5.106667,1.472060,3856000
1962-05-31,5.200000,5.333333,5.200000,5.233333,1.508573,4128000
1962-06-01,5.213333,5.213333,5.103333,5.133333,1.479747,2411200
1962-06-04,5.066667,5.066667,4.800000,4.800000,1.383660,1811200
1962-06-05,4.800000,4.986667,4.706666,4.855000,1.399514,3160000
1962-06-06,4.855000,5.013333,4.826667,4.873333,1.404799,2880000
1962-06-07,4.906667,4.986667,4.906667,4.933333,1.422095,1227200
1962-06-08,4.936666,5.013333,4.936666,4.950000,1.426898,1168000
1962-06-11,4.950000,4.960000,4.780000,4.786667,1.379816,1187200
1962-06-12,4.733333,4.733333,4.468333,4.468333,1.288053,3328000
1962-06-13,4.468333,4.573333,4.296667,4.301667,1.240008,4384000
1962-06-14,4.301667,4.423333,4.000000,4.080000,1.176111,6675200
1962-06-15,4.080000,4.460000,4.006667,4.446667,1.281807,6328000
1962-06-18,4.446667,4.530000,4.233333,4.396667,1.267393,4768000
1962-06-19,4.396667,4.480000,4.346667,4.480000,1.291416,2104000
1962-06-20,4.480000,4.570000,4.373333,4.373333,1.260667,3059200
